member_id,name,birth_date,birth_place,mbti,height,hobby,special_skill,week_2_rank,week_3_rank,week_5_rank,image_url,profile_url
61,加藤 愛梨,2004/04/11,東京,ENFP,164,ディズニー,ものまね,88,79,91,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/024_katoairi.jpg,https://produce101.jp/profile/detail/?id=024_katoairi&lang=ja
62,加藤 好実,2004/10/17,東京,ESFJ,160,甘いものを食べること,メイク、舌を2つに折ること,82,94,80,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/027_katokonomi.jpg,https://produce101.jp/profile/detail/?id=027_katokonomi&lang=ja
63,鎌田 萌,2004/03/24,大阪,ENFP,162,美味しいご飯屋さんを見つけること,どんな曲でも鼻で奏でられること,89,72,58,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/028_kamadamoe.jpg,https://produce101.jp/profile/detail/?id=028_kamadamoe&lang=ja
64,川岸 瑠那,2001/04/29,東京,ESFP,155,エレクトーン、ピアノ,テコンドー,66,68,77,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/030_kawagishiruna.jpg,https://produce101.jp/profile/detail/?id=030_kawagishiruna&lang=ja
65,菊川 亜樹,2001/08/13,福岡,INFJ,161,ダンス、自然に触れること、好きな香りで癒されること、自分のケア、YouTube鑑賞、Netflix鑑賞,ダンス、ソフトテニス,50,53,61,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/033_kikukawaaki.jpg,https://produce101.jp/profile/detail/?id=033_kikukawaaki&lang=ja
66,木野 稟子,2005/09/13,京都,ESFP,160,アニメを観ること、猫と遊ぶこと,スポーツ、絵を描くこと,76,76,84,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/036_kinoriko.jpg,https://produce101.jp/profile/detail/?id=036_kinoriko&lang=ja
67,栗原 果乃,2004/11/06,埼玉,ISTP,157,愛犬と遊ぶこと,頭皮を動かすこと、エビの殼剥き,95,93,59,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/037_kuriharakano.jpg,https://produce101.jp/profile/detail/?id=037_kuriharakano&lang=ja
68,黒川 穂香,2005/07/01,徳島,ENFP,168,音楽鑑賞、ゲーム,モノマネ、バレーボール,78,60,55,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/038_kurokawahonoka.jpg,https://produce101.jp/profile/detail/?id=038_kurokawahonoka&lang=ja
69,小林 さえ,2005/02/02,神奈川,ESFP,164,K-POPを聴くこと、踊ること,特徴を掴んで人の真似をすること,79,85,95,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/041_kobayashisae.jpg,https://produce101.jp/profile/detail/?id=041_kobayashisae&lang=ja
70,佐藤 あめり,2004/04/06,アメリカ,ISFJ,167,スキー、日記、旅行,クラシックバレエ,64,67,79,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/050_satoameli.jpg,https://produce101.jp/profile/detail/?id=050_satoameli&lang=ja
