songID,varID,lyrics_writer,song_writer,arranger,link,singleID,albumID
136,3,つんく,つんく,ダンス☆マン (ホーンアレンジ：川松久芳),,,234
137,1,つんく,つんく,AKIRA,http://www.up-front-works.jp/release/detail/EPCE-5661/,44,
138,1,つんく,つんく,前嶋康明,https://wmg.jp/heike/discography/2027/,45,
139,1,つんく,つんく,高橋諭一,https://wmg.jp/heike/discography/2029/,45,
140,1,三佳千夏,真田カオル,真田カオル,https://musicbrainz.org/release-group/116a79c6-271b-36a3-85da-a5f99fdff671,46,
141,1,AKA$AKA,真田カオル,真田カオル,,46,
142,1,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/EPCE-5600/,47,
143,1,つんく,つんく,鈴木俊介,http://www.up-front-works.jp/release/detail/EPCE-5702/,47,
144,1,つんく,つんく,永井ルイ,http://www.up-front-works.jp/release/detail/HKCN-50158/,48,
144,2,つんく,つんく,永井ルイ,http://www.up-front-works.jp/release/detail/HKCN-50158/,372,
145,1,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/EPCE-5060/,48,
146,1,つんく,つんく,高橋諭一,http://www.up-front-works.jp/release/detail/EPCE-5591/,49,
147,1,つんく,つんく,上杉洋史,http://www.up-front-works.jp/release/detail/EPCE-5066/,49,
148,1,つんく,つんく,松原憲,http://www.up-front-works.jp/release/detail/EPCE-5595/,50,
149,1,つんく,つんく,鈴木俊介,http://www.up-front-works.jp/release/detail/EPCE-5068/,50,
150,1,つんく,つんく,河野伸,https://www.sonymusic.co.jp/artist/CoconutsMusume/discography/SRCL-4885,51,
150,2,つんく,つんく,河野伸,https://www.sonymusic.co.jp/artist/CoconutsMusume/discography/SRCL-4885,51,
151,1,つんく,つんく,前嶋康明,,52,
152,1,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPCE-5172/,52,
153,1,つんく,つんく,高橋諭一,http://www.up-front-works.jp/release/detail/EPCE-5597/,53,
153,2,つんく,つんく,高橋諭一,http://www.up-front-works.jp/release/detail/EPCE-5219/,136,
154,1,つんく,つんく,高橋諭一,http://www.up-front-works.jp/release/detail/EPCE-5129/,53,
155,1,つんく,つんく,AKIRA,https://wmg.jp/heike/discography/2027/,54,
156,1,つんく,つんく,鈴木俊介,https://wmg.jp/heike/discography/2028/,54,
157,1,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/EPCE-7676/,55,
157,2,つんく,つんく,米光亮,http://www.up-front-works.jp/release/detail/EPCE-5167/,,209
157,3,つんく,つんく,河野伸,,,157
157,4,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/EPCE-7676/,585,
158,1,つんく,つんく,AKIRA,http://www.up-front-works.jp/release/detail/EPCE-5661/,55,
159,1,平家みちよ,はたけ,はたけ,https://wmg.jp/heike/discography/2027/,,11
160,1,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/EPCE-5068/,,12
161,1,つんく,つんく,AKIRA,http://www.up-front-works.jp/release/detail/EPCE-5068/,,12
162,1,つんく,つんく,鈴木俊介,http://www.up-front-works.jp/release/detail/EPCE-5068/,,12
