name,birth_date,birth_place,mbti,height,hobby,special_skill,week_2_rank,week_3_rank,week_5_rank,week_6_rank,week_8_rank,week_10_rank
藤本 彩花,2001/08/31,埼玉,INFJ,169,愛犬と遊ぶこと、パン屋巡り、ナンプレ,バトントワリング、アクロバット,45,54,36,42,45,
古橋 沙也佳,2002/07/10,千葉,INFP,165,アイスを食べること、黄昏れること,ご飯をたくさん食べること、ピアノを弾くこと,75,80,93,,,
細井 彩加,2002/04/16,千葉,ESFP,153,常に音楽を聴くこと,言語,55,58,65,,,
松下 実夢,2000/07/10,石川,ENFP,160,料理、映画・アニメ鑑賞,ダンス,59,55,31,25,27,29
水上 凜巳花,2003/07/10,福岡,ENFP,164,ホラー映画を観ること(その中で生きる方法を考えること),誰とでも仲良くなれること,26,28,34,44,43,
茂木 詩音,2006/11/27,千葉,INFP,161,ダンス、アニメ鑑賞,絵を描くこと、韓国語,46,50,52,,,
本橋 明桜,2006/08/24,千葉,ESFJ,154,食べること、遊ぶこと、寝ること、ダンス,手首が柔らかいこと、フラフープ,80,87,87,,,
茂呂 空音,2003/04/05,東京,INFJ,159,音楽を聴きながら散歩すること、サッカー・フットサル観戦,どこでも寝られること,77,78,74,,,
山口 愛咲,2007/11/26,宮崎,ISTP,160,毎日空の写真を撮ること,ご飯をいっぱい食べられること、サックス,90,84,51,,,
山崎 美月,2001/08/17,東京,ENTJ,162,空観察、推理小説読解、ラテアート,料理、パン・お菓子作り、金魚すくい、UFOキャッチャー、空手,24,29,41,47,46,
吉田 彩乃,2001/12/21,大阪,INFJ,156,パン屋巡り、古着屋巡り,口笛,53,51,45,41,37,
吉田 花夏,2006/05/10,奈良,ESFJ,166,音楽鑑賞、ファッション,ミッキーマウスのモノマネ,48,44,33,27,35,30
脇本 美颯,2006/09/01,岡山,ISFP,160,映画鑑賞(アニメ・ホラー),コピーダンス,69,70,72,,,
渡辺 未優,2007/05/14,兵庫,ESFP,158,韓ドラ鑑賞、ネイルをすること,友達を作ること,42,47,54,,,
